Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2016,20,20000,Kansas,2825887,343773,333475,354071,"333,475 to 354,071",12.2,11.8,12.6,11.8 to 12.6,704941,100996,95278,106714,"95,278 to 106,714",14.3,13.5,15.1,13.5 to 15.1,511928,67810,62874,72746,"62,874 to 72,746",13.2,12.2,14.2,12.2 to 14.2,189959,30377,27577,33177,"27,577 to 33,177",16,14.5,17.5,14.5 to 17.5,54828,53976,55680,"$53,976 to $55,680"
2015,20,20000,Kansas,2830955,366069,355837,376301,"355,837 to 376,301",12.9,12.5,13.3,12.5 to 13.3,710104,119994,114388,125600,"114,388 to 125,600",16.9,16.1,17.7,16.1 to 17.7,512077,78192,73349,83035,"73,349 to 83,035",15.3,14.4,16.2,14.4 to 16.2,194049,38465,35759,41171,"35,759 to 41,171",19.8,18.4,21.2,18.4 to 21.2,53802,52963,54641,"$52,963 to $54,641"
2014,20,20000,Kansas,2821429,381506,371806,391206,"371,806 to 391,206",13.5,13.2,13.8,13.2 to 13.8,711445,125562,120243,130881,"120,243 to 130,881",17.6,16.9,18.3,16.9 to 18.3,510605,83873,79397,88349,"79,397 to 88,349",16.4,15.5,17.3,15.5 to 17.3,197242,38604,35853,41355,"35,853 to 41,355",19.6,18.2,21,18.2 to 21.0,52392,51712,53072,"$51,712 to $53,072"
2013,20,20000,Kansas,2811674,391718,380565,402871,"380,565 to 402,871",13.9,13.5,14.3,13.5 to 14.3,713209,131251,124782,137720,"124,782 to 137,720",18.4,17.5,19.3,17.5 to 19.3,512053,84325,78956,89694,"78,956 to 89,694",16.5,15.5,17.5,15.5 to 17.5,197471,43706,40107,47305,"40,107 to 47,305",22.1,20.3,23.9,20.3 to 23.9,50892,50299,51485,"$50,299 to $51,485"
2012,20,20000,Kansas,2802171,392095,383225,400965,"383,225 to 400,965",14,13.7,14.3,13.7 to 14.3,711813,135261,130015,140507,"130,015 to 140,507",19,18.3,19.7,18.3 to 19.7,508674,87594,82882,92306,"82,882 to 92,306",17.2,16.3,18.1,16.3 to 18.1,199388,44479,42128,46830,"42,128 to 46,830",22.3,21.1,23.5,21.1 to 23.5,50140,49632,50648,"$49,632 to $50,648"
2011,20,20000,Kansas,2786839,383859,373991,393727,"373,991 to 393,727",13.8,13.4,14.2,13.4 to 14.2,710722,133478,128023,138933,"128,023 to 138,933",18.8,18,19.6,18.0 to 19.6,507925,82311,77941,86681,"77,941 to 86,681",16.2,15.3,17.1,15.3 to 17.1,199241,47727,44420,51034,"44,420 to 51,034",24,22.3,25.7,22.3 to 25.7,48844,48127,49561,"$48,127 to $49,561"
2010,20,20000,Kansas,2775358,374677,364111,385243,"364,111 to 385,243",13.5,13.1,13.9,13.1 to 13.9,714397,129009,122672,135346,"122,672 to 135,346",18.1,17.2,19,17.2 to 19.0,508829,81077,75631,86523,"75,631 to 86,523",15.9,14.8,17,14.8 to 17.0,201917,44653,41582,47724,"41,582 to 47,724",22.1,20.6,23.6,20.6 to 23.6,47888,47096,48680,"$47,096 to $48,680"
2009,20,20000,Kansas,2732646,359692,349833,369551,"349,833 to 369,551",13.2,12.8,13.5,12.8 to 13.5,691551,118187,112221,124153,"112,221 to 124,153",17.1,16.2,18,16.2 to 18.0,487475,71850,66966,76734,"66,966 to 76,734",14.7,13.7,15.7,13.7 to 15.7,200586,43084,39854,46314,"39,854 to 46,314",21.5,19.9,23.1,19.9 to 23.1,47709,47074,48343,"$47,074 to $48,343"
2008,20,20000,Kansas,2716645,307804,298971,316637,"298,971 to 316,637",11.3,11,11.7,11.0 to 11.7,687997,100146,95023,105269,"95,023 to 105,269",14.6,13.8,15.3,13.8 to 15.3,486254,59842,55420,64264,"55,420 to 64,264",12.3,11.4,13.2,11.4 to 13.2,197609,36417,33847,38986,"33,847 to 38,986",18.4,17.1,19.7,17.1 to 19.7,50174,49702,50646,"$49,702 to $50,646"
2007,20,20000,Kansas,2688964,301826,293408,310244,"293,408 to 310,244",11.2,10.9,11.5,10.9 to 11.5,682056,100242,95557,104928,"95,557 to 104,928",14.7,14,15.4,14.0 to 15.4,483941,61149,57092,65206,"57,092 to 65,206",12.6,11.8,13.5,11.8 to 13.5,192761,34510,32157,36863,"32,157 to 36,863",17.9,16.7,19.1,16.7 to 19.1,47341,46733,47949,"$46,733 to $47,949"
2006,20,20000,Kansas,2679947,327103,319106,335100,"319,106 to 335,100",12.2,11.9,12.5,11.9 to 12.5,685037,105191,100418,109965,"100,418 to 109,965",15.4,14.7,16.1,14.7 to 16.1,489323,64427,60249,68605,"60,249 to 68,605",13.2,12.3,14,12.3 to 14.0,191289,36901,34689,39114,"34,689 to 39,114",19.3,18.1,20.4,18.1 to 20.4,45369,44881,45856,"$44,881 to $45,856"
2005,20,20000,Kansas,2651105,310666,302026,319305,"302,026 to 319,305",11.7,11.4,12,11.4 to 12.0,660150,100253,95207,105298,"95,207 to 105,298",15.2,14.4,16,14.4 to 16.0,472167,60203,56130,64276,"56,130 to 64,276",12.8,11.9,13.6,11.9 to 13.6,183894,36789,33937,39641,"33,937 to 39,641",20,18.5,21.6,18.5 to 21.6,42861,42188,43534,"$42,188 to $43,534"
2004,20,20000,Kansas,2684155,297733,275110,320357,"275,110 to 320,357",11.1,10.2,11.9,10.2 to 11.9,673695,98641,88073,109208,"88,073 to 109,208",14.6,13.1,16.2,13.1 to 16.2,476666,59392,50141,68643,"50,141 to 68,643",12.5,10.5,14.4,10.5 to 14.4,187083,35005,30008,40003,"30,008 to 40,003",18.7,16,21.4,16.0 to 21.4,41664,40198,43130,"$40,198 to $43,130"
2003,20,20000,Kansas,2671994,278163,260826,295499,"260,826 to 295,499",10.4,9.8,11.1,9.8 to 11.1,681328,93896,85083,102709,"85,083 to 102,709",13.8,12.5,15.1,12.5 to 15.1,488407,55419,48813,62025,"48,813 to 62,025",11.3,10,12.7,10.0 to 12.7,185383,33991,28393,39589,"28,393 to 39,589",18.3,15.3,21.4,15.3 to 21.4,43113,41682,44544,"$41,682 to $44,544"
2002,20,20000,Kansas,2665684,265673,248358,282988,"248,358 to 282,988",10,9.3,10.6,9.3 to 10.6,693739,84181,75247,93115,"75,247 to 93,115",12.1,10.8,13.4,10.8 to 13.4,501640,52453,45076,59830,"45,076 to 59,830",10.5,9,11.9,9.0 to 11.9,186148,28767,23813,33721,"23,813 to 33,721",15.5,12.8,18.1,12.8 to 18.1,42104,40410,43798,"$40,410 to $43,798"
2001,20,20000,Kansas,2641329,252134,236429,267838,"236,429 to 267,838",9.5,9,10.1,9.0 to 10.1,689535,87487,76517,98458,"76,517 to 98,458",12.7,11.1,14.3,11.1 to 14.3,498342,53755,44150,63360,"44,150 to 63,360",10.8,8.9,12.7,8.9 to 12.7,182759,28399,24281,32517,"24,281 to 32,517",15.5,13.3,17.8,13.3 to 17.8,42081,40645,43518,"$40,645 to $43,518"
2000,20,20000,Kansas,2635312,235087,219564,250610,"219,564 to 250,610",8.9,8.3,9.5,8.3 to 9.5,695254,82619,73813,91425,"73,813 to 91,425",11.9,10.6,13.1,10.6 to 13.1,502525,50388,43005,57771,"43,005 to 57,771",10,8.6,11.5,8.6 to 11.5,184294,27451,22688,32214,"22,688 to 32,214",14.9,12.3,17.5,12.3 to 17.5,41150,39375,42924,"$39,375 to $42,924"
1999,20,20000,Kansas,2629867,269204,244610,293797,"244,610 to 293,797",10.2,9.3,11.2,9.3 to 11.2,707489,101234,84009,118459,"84,009 to 118,459",14.3,11.9,16.7,11.9 to 16.7,514839,64738,49435,80041,"49,435 to 80,041",12.6,9.6,15.5,9.6 to 15.5,188761,31854,24083,39625,"24,083 to 39,625",16.9,12.8,21,12.8 to 21.0,39726,38266,41185,"$38,266 to $41,185"
1998,20,20000,Kansas,2627795,274974,250586,299362,"250,586 to 299,362",10.5,9.5,11.4,9.5 to 11.4,714563,102867,87030,118703,"87,030 to 118,703",14.4,12.2,16.6,12.2 to 16.6,512741,68613,54484,82742,"54,484 to 82,742",13.4,10.6,16.1,10.6 to 16.1,190172,28662,21515,35809,"21,515 to 35,809",15.1,11.3,18.8,11.3 to 18.8,38553,36725,40380,"$36,725 to $40,380"
1997,20,20000,Kansas,NA,283038,258508,307568,"258,508 to 307,568",10.9,9.9,11.8,9.9 to 11.8,NA,109324,96207,122441,"96,207 to 122,441",15.4,13.6,17.3,13.6 to 17.3,NA,71575,60349,82801,"60,349 to 82,801",14.2,12,16.4,12.0 to 16.4,NA,30503,23779,37226,"23,779 to 37,226",16.4,12.8,20,12.8 to 20.0,36488,34799,38178,"$34,799 to $38,178"
1996,20,20000,Kansas,NA,277256,254641,299871,"254,641 to 299,871",10.8,9.9,11.7,9.9 to 11.7,NA,100894,88550,113238,"88,550 to 113,238",14.3,12.5,16,12.5 to 16.0,NA,62458,51124,73792,"51,124 to 73,792",12.2,10,14.4,10.0 to 14.4,NA,32673,27045,38300,"27,045 to 38,300",17.7,14.7,20.8,14.7 to 20.8,33610,31744,35476,"$31,744 to $35,476"
1995,20,20000,Kansas,NA,280971,267075,294868,"267,075 to 294,868",11,10.5,11.6,10.5 to 11.6,NA,104574,96718,112429,"96,718 to 112,429",14.9,13.8,16,13.8 to 16.0,NA,65999,61399,70599,"61,399 to 70,599",13,12.1,13.9,12.1 to 13.9,NA,33294,26879,39710,"26,879 to 39,710",18,14.5,21.5,14.5 to 21.5,32114,30641,33587,"$30,641 to $33,587"
1993,20,20000,Kansas,NA,308253,286350,330156,"286,350 to 330,156",12.2,11.3,13.1,11.3 to 13.1,NA,117134,106144,128124,"106,144 to 128,124",16.7,15.1,18.2,15.1 to 18.2,NA,73381,64263,82499,"64,263 to 82,499",14.7,12.8,16.5,12.8 to 16.5,NA,39339,35927,42751,"35,927 to 42,751",20.6,18.8,22.4,18.8 to 22.4,29544,28361,30727,"$28,361 to $30,727"
1989,20,20000,Kansas,NA,262486,251373,273599,"251,373 to 273,599",10.8,10.3,11.3,10.3 to 11.3,NA,105136,98334,111938,"98,334 to 111,938",15.7,14.7,16.7,14.7 to 16.7,NA,64214,58845,69583,"58,845 to 69,583",13.7,12.6,14.9,12.6 to 14.9,NA,35207,30532,39882,"30,532 to 39,882",18.1,15.7,20.5,15.7 to 20.5,26924,25810,28038,"$25,810 to $28,038"
2016,21,21000,Kentucky,4298981,782779,766290,799268,"766,290 to 799,268",18.2,17.8,18.6,17.8 to 18.6,987273,241231,232633,249829,"232,633 to 249,829",24.4,23.5,25.3,23.5 to 25.3,713057,164086,156662,171510,"156,662 to 171,510",23,22,24,22.0 to 24.0,266948,70987,66861,75113,"66,861 to 75,113",26.6,25.1,28.1,25.1 to 28.1,46610,46022,47198,"$46,022 to $47,198"
2015,21,21000,Kentucky,4290011,786345,770810,801880,"770,810 to 801,880",18.3,17.9,18.7,17.9 to 18.7,988644,250180,242109,258251,"242,109 to 258,251",25.3,24.5,26.1,24.5 to 26.1,713167,169618,162702,176534,"162,702 to 176,534",23.8,22.8,24.8,22.8 to 24.8,270125,75486,71385,79587,"71,385 to 79,587",27.9,26.4,29.4,26.4 to 29.4,45178,44714,45642,"$44,714 to $45,642"
2014,21,21000,Kentucky,4275418,812803,797212,828394,"797,212 to 828,394",19,18.6,19.4,18.6 to 19.4,988287,256368,249013,263723,"249,013 to 263,723",25.9,25.2,26.6,25.2 to 26.6,714255,171281,165044,177518,"165,044 to 177,518",24,23.1,24.9,23.1 to 24.9,267930,79636,75937,83335,"75,937 to 83,335",29.7,28.3,31.1,28.3 to 31.1,42914,42243,43585,"$42,243 to $43,585"
2013,21,21000,Kentucky,4266545,803044,788501,817587,"788,501 to 817,587",18.8,18.5,19.1,18.5 to 19.1,994801,253390,244601,262179,"244,601 to 262,179",25.5,24.6,26.4,24.6 to 26.4,722537,171420,163807,179033,"163,807 to 179,033",23.7,22.6,24.8,22.6 to 24.8,267674,77366,73276,81456,"73,276 to 81,456",28.9,27.4,30.4,27.4 to 30.4,43307,42676,43938,"$42,676 to $43,938"
2012,21,21000,Kentucky,4247112,821067,805992,836142,"805,992 to 836,142",19.3,18.9,19.7,18.9 to 19.7,994720,263744,255986,271502,"255,986 to 271,502",26.5,25.7,27.3,25.7 to 27.3,718292,176603,169899,183307,"169,899 to 183,307",24.6,23.7,25.5,23.7 to 25.5,272272,83057,79340,86774,"79,340 to 86,774",30.5,29.1,31.9,29.1 to 31.9,41717,41304,42130,"$41,304 to $42,130"
2011,21,21000,Kentucky,4238365,809764,794106,825422,"794,106 to 825,422",19.1,18.7,19.5,18.7 to 19.5,999754,272115,263587,280643,"263,587 to 280,643",27.2,26.3,28.1,26.3 to 28.1,718042,179847,172495,187199,"172,495 to 187,199",25,24,26,24.0 to 26.0,275386,86781,82189,91373,"82,189 to 91,373",31.5,29.8,33.2,29.8 to 33.2,41141,40687,41595,"$40,687 to $41,595"
2010,21,21000,Kentucky,4215618,796208,781996,810420,"781,996 to 810,420",18.9,18.6,19.2,18.6 to 19.2,1001560,261696,253671,269721,"253,671 to 269,721",26.1,25.3,26.9,25.3 to 26.9,720109,171016,164346,177686,"164,346 to 177,686",23.7,22.8,24.6,22.8 to 24.6,275332,85526,81231,89821,"81,231 to 89,821",31.1,29.5,32.7,29.5 to 32.7,40089,39605,40573,"$39,605 to $40,573"
2009,21,21000,Kentucky,4187651,771876,756732,787019,"756,732 to 787,019",18.4,18.1,18.8,18.1 to 18.8,994369,251684,243202,260167,"243,202 to 260,167",25.3,24.5,26.2,24.5 to 26.2,708020,162544,155384,169704,"155,384 to 169,704",23,21.9,24,21.9 to 24.0,281227,84400,79880,88921,"79,880 to 88,921",30,28.4,31.6,28.4 to 31.6,40061,39545,40577,"$39,545 to $40,577"
2008,21,21000,Kentucky,4154953,716951,702312,731590,"702,312 to 731,590",17.3,16.9,17.6,16.9 to 17.6,992284,232097,224401,239794,"224,401 to 239,794",23.4,22.6,24.2,22.6 to 24.2,706141,147795,141065,154525,"141,065 to 154,525",20.9,20,21.9,20.0 to 21.9,279295,78680,74763,82597,"74,763 to 82,597",28.2,26.8,29.6,26.8 to 29.6,41489,41049,41930,"$41,049 to $41,930"
2007,21,21000,Kentucky,4120526,706947,692722,721172,"692,722 to 721,172",17.2,16.8,17.5,16.8 to 17.5,981690,231398,224230,238566,"224,230 to 238,566",23.6,22.8,24.3,22.8 to 24.3,701804,149095,142855,155335,"142,855 to 155,335",21.2,20.4,22.1,20.4 to 22.1,272533,75890,72409,79370,"72,409 to 79,370",27.8,26.6,29.1,26.6 to 29.1,40299,39795,40802,"$39,795 to $40,802"
2006,21,21000,Kentucky,4087460,694866,681445,708288,"681,445 to 708,288",17,16.7,17.3,16.7 to 17.3,979657,226101,219415,232787,"219,415 to 232,787",23.1,22.4,23.8,22.4 to 23.8,703092,147717,141820,153614,"141,820 to 153,614",21,20.2,21.8,20.2 to 21.8,269973,72114,68723,75505,"68,723 to 75,505",26.7,25.5,28,25.5 to 28.0,39318,38806,39829,"$38,806 to $39,829"
2005,21,21000,Kentucky,4042791,684138,671445,696830,"671,445 to 696,830",16.9,16.6,17.2,16.6 to 17.2,959196,220222,213036,227407,"213,036 to 227,407",23,22.2,23.7,22.2 to 23.7,688295,146404,140394,152414,"140,394 to 152,414",21.3,20.4,22.1,20.4 to 22.1,265770,68859,65157,72561,"65,157 to 72,561",25.9,24.5,27.3,24.5 to 27.3,37377,36915,37838,"$36,915 to $37,838"
2004,21,21000,Kentucky,4088112,668241,628668,707813,"628,668 to 707,813",16.3,15.4,17.3,15.4 to 17.3,978276,217368,199753,234984,"199,753 to 234,984",22.2,20.4,24,20.4 to 24.0,692226,135287,119854,150720,"119,854 to 150,720",19.5,17.3,21.8,17.3 to 21.8,268681,70382,62092,78671,"62,092 to 78,671",26.2,23.1,29.3,23.1 to 29.3,37046,35554,38537,"$35,554 to $38,537"
2003,21,21000,Kentucky,4054326,606513,576568,636458,"576,568 to 636,458",15,14.2,15.7,14.2 to 15.7,974064,205809,191676,219941,"191,676 to 219,941",21.1,19.7,22.6,19.7 to 22.6,692137,138101,127700,148502,"127,700 to 148,502",20,18.5,21.5,18.5 to 21.5,262078,61580,52292,70868,"52,292 to 70,868",23.5,20,27,20.0 to 27.0,36663,35184,38142,"$35,184 to $38,142"
2002,21,21000,Kentucky,4029598,596255,566245,626265,"566,245 to 626,265",14.8,14.1,15.5,14.1 to 15.5,983995,208030,193736,222324,"193,736 to 222,324",21.1,19.7,22.6,19.7 to 22.6,701801,133588,121875,145301,"121,875 to 145,301",19,17.4,20.7,17.4 to 20.7,265323,67907,59749,76064,"59,749 to 76,064",25.6,22.5,28.7,22.5 to 28.7,35875,34132,37619,"$34,132 to $37,619"
2001,21,21000,Kentucky,3992816,585302,557829,612775,"557,829 to 612,775",14.7,14,15.3,14.0 to 15.3,980788,194528,177052,212003,"177,052 to 212,003",19.8,18.1,21.6,18.1 to 21.6,705175,126115,110830,141400,"110,830 to 141,400",17.9,15.7,20.1,15.7 to 20.1,263872,61944,55312,68576,"55,312 to 68,576",23.5,21,26,21.0 to 26.0,35977,34374,37581,"$34,374 to $37,581"
2000,21,21000,Kentucky,3972382,550332,522095,578570,"522,095 to 578,570",13.9,13.1,14.6,13.1 to 14.6,945008,182746,169278,196214,"169,278 to 196,214",19.3,17.9,20.8,17.9 to 20.8,680818,118516,107108,129924,"107,108 to 129,924",17.4,15.7,19.1,15.7 to 19.1,256461,58256,51188,65324,"51,188 to 65,324",22.7,20,25.5,20.0 to 25.5,35150,33342,36957,"$33,342 to $36,957"
1999,21,21000,Kentucky,3953958,566549,527747,605350,"527,747 to 605,350",14.3,13.3,15.3,13.3 to 15.3,978659,198106,173227,222986,"173,227 to 222,986",20.2,17.7,22.8,17.7 to 22.8,713194,130146,108665,151627,"108,665 to 151,627",18.2,15.2,21.3,15.2 to 21.3,256247,62009,50497,73521,"50,497 to 73,521",24.2,19.7,28.7,19.7 to 28.7,33732,32351,35114,"$32,351 to $35,114"
1998,21,21000,Kentucky,3937364,603038,563434,642643,"563,434 to 642,643",15.3,14.3,16.3,14.3 to 16.3,991309,210639,187446,233832,"187,446 to 233,832",21.2,18.9,23.6,18.9 to 23.6,718582,138021,117827,158215,"117,827 to 158,215",19.2,16.4,22,16.4 to 22.0,268778,67304,56603,78004,"56,603 to 78,004",25,21.1,29,21.1 to 29.0,33955,32030,35880,"$32,030 to $35,880"
1997,21,21000,Kentucky,NA,624219,584283,664156,"584,283 to 664,156",16,15,17,15.0 to 17.0,NA,229043,209949,248137,"209,949 to 248,137",23.1,21.2,25,21.2 to 25.0,NA,153703,137551,169855,"137,551 to 169,855",21.7,19.4,24,19.4 to 24.0,NA,67054,57422,76685,"57,422 to 76,685",25,21.4,28.6,21.4 to 28.6,31730,29982,33478,"$29,982 to $33,478"
1996,21,21000,Kentucky,NA,677953,639720,716186,"639,720 to 716,186",17.5,16.5,18.5,16.5 to 18.5,NA,252096,232920,271272,"232,920 to 271,272",25.5,23.6,27.5,23.6 to 27.5,NA,169550,152068,187032,"152,068 to 187,032",23.7,21.3,26.2,21.3 to 26.2,NA,75101,65746,84455,"65,746 to 84,455",27.9,24.4,31.4,24.4 to 31.4,30630,28685,32576,"$28,685 to $32,576"
1995,21,21000,Kentucky,NA,689138,660539,717737,"660,539 to 717,737",17.9,17.2,18.6,17.2 to 18.6,NA,255550,242207,268894,"242,207 to 268,894",26,24.7,27.4,24.7 to 27.4,NA,167126,158280,175972,"158,280 to 175,972",23.6,22.3,24.8,22.3 to 24.8,NA,80962,70910,91014,"70,910 to 91,014",30.4,26.6,34.2,26.6 to 34.2,28929,27415,30443,"$27,415 to $30,443"
1993,21,21000,Kentucky,NA,748007,710555,785459,"710,555 to 785,459",19.7,18.7,20.7,18.7 to 20.7,NA,277678,261110,294246,"261,110 to 294,246",28.1,26.5,29.8,26.5 to 29.8,NA,181581,167916,195246,"167,916 to 195,246",25.7,23.8,27.6,23.8 to 27.6,NA,87665,82056,93274,"82,056 to 93,274",32.5,30.4,34.5,30.4 to 34.5,25222,23973,26471,"$23,973 to $26,471"
1989,21,21000,Kentucky,NA,627037,605700,648374,"605,700 to 648,374",17.2,16.6,17.8,16.6 to 17.8,NA,240559,227389,253729,"227,389 to 253,729",24.9,23.5,26.2,23.5 to 26.2,NA,159227,148235,170219,"148,235 to 170,219",22.9,21.3,24.5,21.3 to 24.5,NA,74006,66312,81700,"66,312 to 81,700",28.6,25.6,31.5,25.6 to 31.5,23392,22194,24590,"$22,194 to $24,590"
2016,22,22000,Louisiana,4546072,911970,893612,930328,"893,612 to 930,328",20.1,19.7,20.5,19.7 to 20.5,1093194,310392,300027,320757,"300,027 to 320,757",28.4,27.5,29.3,27.5 to 29.3,785295,214016,205039,222993,"205,039 to 222,993",27.3,26.2,28.4,26.2 to 28.4,303224,91982,86699,97265,"86,699 to 97,265",30.3,28.6,32,28.6 to 32.0,45374,44621,46127,"$44,621 to $46,127"
2015,22,22000,Louisiana,4541708,885846,868463,903229,"868,463 to 903,229",19.5,19.1,19.9,19.1 to 19.9,1100207,309187,300054,318320,"300,054 to 318,320",28.1,27.3,28.9,27.3 to 28.9,790296,211026,203461,218591,"203,461 to 218,591",26.7,25.7,27.7,25.7 to 27.7,305589,94525,89832,99218,"89,832 to 99,218",30.9,29.4,32.4,29.4 to 32.4,45829,45174,46484,"$45,174 to $46,484"
2014,22,22000,Louisiana,4518537,898902,882243,915561,"882,243 to 915,561",19.9,19.5,20.3,19.5 to 20.3,1097124,307469,298623,316315,"298,623 to 316,315",28,27.2,28.8,27.2 to 28.8,790147,207577,200114,215040,"200,114 to 215,040",26.3,25.4,27.2,25.4 to 27.2,302769,95627,91157,100097,"91,157 to 100,097",31.6,30.1,33.1,30.1 to 33.1,44680,43971,45389,"$43,971 to $45,389"
2013,22,22000,Louisiana,4494987,897284,879370,915198,"879,370 to 915,198",20,19.6,20.4,19.6 to 20.4,1097099,311059,300839,321279,"300,839 to 321,279",28.4,27.5,29.3,27.5 to 29.3,789015,212904,204048,221760,"204,048 to 221,760",27,25.9,28.1,25.9 to 28.1,303097,93475,88651,98299,"88,651 to 98,299",30.8,29.2,32.4,29.2 to 32.4,44234,43412,45056,"$43,412 to $45,056"
2012,22,22000,Louisiana,4471146,900395,884176,916614,"884,176 to 916,614",20.1,19.7,20.5,19.7 to 20.5,1100672,315185,305973,324397,"305,973 to 324,397",28.6,27.8,29.4,27.8 to 29.4,788482,214695,206688,222702,"206,688 to 222,702",27.2,26.2,28.2,26.2 to 28.2,308524,97087,92654,101520,"92,654 to 101,520",31.5,30.1,32.9,30.1 to 32.9,42998,42346,43650,"$42,346 to $43,650"
2011,22,22000,Louisiana,4445402,910266,894522,926010,"894,522 to 926,010",20.5,20.1,20.9,20.1 to 20.9,1102175,317946,309922,325970,"309,922 to 325,970",28.8,28.1,29.5,28.1 to 29.5,787849,214049,206892,221206,"206,892 to 221,206",27.2,26.3,28.1,26.3 to 28.1,310487,100423,96516,104330,"96,516 to 104,330",32.3,31,33.6,31.0 to 33.6,41804,41290,42318,"$41,290 to $42,318"
2010,22,22000,Louisiana,4413869,831512,816150,846874,"816,150 to 846,874",18.8,18.5,19.1,18.5 to 19.1,1100581,302056,292729,311383,"292,729 to 311,383",27.4,26.6,28.2,26.6 to 28.2,788832,197278,189030,205526,"189,030 to 205,526",25,24,26,24.0 to 26.0,308385,101442,97102,105782,"97,102 to 105,782",32.9,31.5,34.3,31.5 to 34.3,42510,41852,43168,"$41,852 to $43,168"
2009,22,22000,Louisiana,4367639,769001,752741,785262,"752,741 to 785,262",17.6,17.2,18,17.2 to 18.0,1106833,274805,265854,283757,"265,854 to 283,757",24.8,24,25.6,24.0 to 25.6,790544,180638,172898,188378,"172,898 to 188,378",22.8,21.9,23.8,21.9 to 23.8,313671,91417,86924,95910,"86,924 to 95,910",29.1,27.7,30.6,27.7 to 30.6,42460,41862,43058,"$41,862 to $43,058"
2008,22,22000,Louisiana,4290035,755150,738919,771381,"738,919 to 771,381",17.6,17.2,18,17.2 to 18.0,1094242,274238,265430,283046,"265,430 to 283,046",25.1,24.3,25.9,24.3 to 25.9,784718,179507,171718,187296,"171,718 to 187,296",22.9,21.9,23.9,21.9 to 23.9,304568,90216,85981,94450,"85,981 to 94,450",29.6,28.2,31,28.2 to 31.0,43635,43018,44252,"$43,018 to $44,252"
2007,22,22000,Louisiana,4166740,783922,769975,797869,"769,975 to 797,869",18.8,18.5,19.1,18.5 to 19.1,1060343,285425,277763,293087,"277,763 to 293,087",26.9,26.2,27.6,26.2 to 27.6,761708,191094,184261,197927,"184,261 to 197,927",25.1,24.2,26,24.2 to 26.0,293136,89242,85683,92801,"85,683 to 92,801",30.4,29.2,31.7,29.2 to 31.7,40866,40421,41311,"$40,421 to $41,311"
2006,22,22000,Louisiana,4165322,808319,793411,823226,"793,411 to 823,226",19.4,19,19.8,19.0 to 19.8,1074348,302938,294063,311813,"294,063 to 311,813",28.2,27.4,29,27.4 to 29.0,773207,204197,196023,212371,"196,023 to 212,371",26.4,25.4,27.5,25.4 to 27.5,296334,94159,90435,97882,"90,435 to 97,882",31.8,30.5,33,30.5 to 33.0,39122,38547,39697,"$38,547 to $39,697"
2005,22,22000,Louisiana,4372930,882641,865485,899798,"865,485 to 899,798",20.2,19.8,20.6,19.8 to 20.6,1125911,329036,318743,339329,"318,743 to 339,329",29.2,28.3,30.1,28.3 to 30.1,800841,220555,211644,229466,"211,644 to 229,466",27.5,26.4,28.7,26.4 to 28.7,318256,102712,97975,107448,"97,975 to 107,448",32.3,30.8,33.8,30.8 to 33.8,36547,35997,37097,"$35,997 to $37,097"
2004,22,22000,Louisiana,4417176,849180,798279,900080,"798,279 to 900,080",19.2,18.1,20.4,18.1 to 20.4,1149163,314522,286962,342083,"286,962 to 342,083",27.4,25,29.8,25.0 to 29.8,814574,201957,177395,226519,"177,395 to 226,519",24.8,21.8,27.8,21.8 to 27.8,320782,101976,90157,113796,"90,157 to 113,796",31.8,28.1,35.5,28.1 to 35.5,35216,33644,36788,"$33,644 to $36,788"
